path,width,height,orientation,brightness,saturation_proxy,clip_low_pct,clip_high_pct,r_mean,g_mean,b_mean,size_bytes,fast_sha1
/Volumes/未命名/大模型/原图1/AAA02024.JPG,2666,4000,portrait,106.2,9.46,0.007,0.0,102.61,96.84,119.16,3631456,0c0650912418b4d18b18aec34277da867f504fb4
/Volumes/未命名/大模型/原图1/DAP04634.JPG,2000,1333,landscape,111.95,18.5,0.138,2.318,138.11,98.62,99.12,1462158,b6244b3303ed115af6122d41ed337dea5fcc8dac
/Volumes/未命名/大模型/原图1/058A1569.JPG,4000,2667,landscape,164.54,8.71,0.919,2.987,173.95,166.72,152.95,3177509,8d6f3d389c55f0bdef8229e9c0feb0fbfdcf300c
/Volumes/未命名/大模型/原图1/DAP01837 2.JPG,2000,1333,landscape,150.6,6.04,0.0,0.0,143.94,149.29,158.56,872881,9f6336586e1a8e38af00dfa67b8c9497f5c7cb6f
/Volumes/未命名/大模型/原图1/DAP04182.JPG,2000,1333,landscape,115.96,2.87,0.055,2.81,118.57,117.35,111.96,636328,ec3c372ae40483a63c3152036e07bdc471bd4984
/Volumes/未命名/大模型/原图1/DAP02263 2.JPG,2000,1333,landscape,72.76,2.7,0.439,0.443,76.49,70.19,71.6,1033170,97ac49746aa592a75e1082503df79f6593d41012
/Volumes/未命名/大模型/原图1/DSC04342(1).JPG,2000,1333,landscape,159.02,8.01,0.0,0.163,147.93,166.59,162.54,1356848,eb9f33900a4f16d1c468f791a0f50a100b7ff5ef
/Volumes/未命名/大模型/原图1/AAA02939.JPG,2666,4000,portrait,104.2,11.4,0.048,0.0,114.22,88.25,110.13,2177462,07182bd0cc9d55e127f53772407666322938d2cd
/Volumes/未命名/大模型/原图1/DSC04764(1).JPG,2000,1333,landscape,124.64,0.57,0.0,0.207,123.88,125.24,124.81,908569,187e3f9b75be2c60f4898cc24e8af4cdab9e655a
/Volumes/未命名/大模型/原图1/DAP04586.JPG,1333,2000,portrait,68.73,33.64,0.43,0.0,116.29,43.84,46.06,872392,5b63fe669a2caed66348fa98b868a506b3155f6d
/Volumes/未命名/大模型/原图1/DAP02292 2.JPG,2000,1333,landscape,58.84,6.36,2.946,0.051,67.58,56.32,52.62,784659,70472718598587717a8870e2c0a60d1d5d98d8f1
